"Address"	Latitude	Longitude	Easting	Northing
"EN4 9DX"	51.652309	-0.155442	527704	196446
"NW2 3LS (2)"	51.556868	-0.211877	524060	185735
"NW4 2AD"	51.58632	-0.219035	523484	188998
"EN5 2HE"	51.65209	-0.19866	524715	196347
"EN5 2HE"	51.65209	-0.19866	524715	196347
"N11 3AA"	51.616356	-0.147139	528380	192462
"NW9 5JS"	51.597036	-0.249583	521339	190139
"N3 3RY"	51.596024	-0.199897	524783	190110
"NW2 2SH (2)"	51.558707	-0.208209	524309	185946
"NW4 3TS"	51.57692	-0.228351	522864	187937
"NW11 9RL (2)"	51.572475	-0.209414	524188	187475
"NW11 8DP"	51.56641	-0.196276	525115	186823
"EN5 1SF (2)"	51.64658	-0.174136	526427	195776
"EN5 1SF"	51.64658	-0.174136	526427	195776
"NW11 9JG"	51.579682	-0.21241	523961	188271
"N12 8QT"	51.622044	-0.178108	526220	193041
"NW4 1RT"	51.590406	-0.223422	523169	189445
"EN5 2HE"	51.65209	-0.19866	524715	196347
"N3 3BD"	51.591051	-0.192056	525340	189570
"NW2 2NE"	51.569449	-0.207762	524311	187141
"NW11 9NS"	51.579351	-0.206665	524360	188244
"NW9 6QJ"	51.585681	-0.245274	521668	188883
"N11 3HU"	51.615218	-0.151952	528050	192327
"N3 2HH"	51.599502	-0.188093	525591	190517
"N3 3BD"	51.591051	-0.192056	525340	189570
"N20 0DD"	51.627998	-0.158581	527555	193737
"EN5 2BP"	51.642418	-0.187221	525533	195291
"N11 1DD"	51.623123	-0.13796	528996	193231
"N11 3QA (2)"	51.61287	-0.145085	528532	192078
"N20 0BA"	51.63021	-0.156631	527684	193986
"HA8 7AU"	51.615167	-0.275275	519512	192113
"NW11 0EG"	51.583539	-0.201444	524710	188719
"NW4 3NB"	51.578938	-0.224462	523128	188168
"NW11 8JL"	51.574271	-0.197932	524979	187694
"N3 1EX"	51.606733	-0.196311	525002	191307
"NW4 3UY"	51.582408	-0.229089	522798	188546
"N12 0PT"	51.609535	-0.169987	526817	191664
"NW11 8PR"	51.571098	-0.207365	524334	187325
"HA8 9QJ"	51.616764	-0.262864	520367	192311
"NW2 1AY"	51.571932	-0.215135	523793	187405
